이름,국가,키(cm),개인기,골결,드리블,중거리,크로스,패스,헤더,몸싸움,가속도,주력,점프거리,균형감각,일대일 마크,태클,수비위치선정,예측력
Bara Sapoko NDIAYE,Senegal,180,14,12,14,12,10,12,10,13,14,11,11,15,7,12,9,13
Mory DIAW,Senegal,197,8,1,1,10,1,11,3,15,11,10,19,14,2,1,12,12
Antoine Alpha MENDY,Senegal,187,12,7,13,5,9,10,12,15,15,14,15,11,15,12,8,9
El Hadji Malick DIOUF,Senegal,183,13,11,13,9,16,13,12,14,16,15,12,13,13,14,11,14
Pape Alassane GUEYE,Senegal,189,13,7,11,14,8,14,10,15,15,15,10,14,14,16,15,15
Ronwen Hayden WILLIAMS,South Africa,184,12,3,8,5,4,16,5,11,8,11,12,8,8,9,14,11
Tholo Thabang MATULUDI,South Africa,189,9,8,11,10,10,8,13,9,14,13,10,8,12,14,13,12
Khulumani NDAMANE,South Africa,183,6,5,5,9,6,10,14,9,14,14,10,10,13,14,14,13
Teboho MOKOENA,South Africa,176,13,10,11,15,9,16,8,10,15,13,7,11,11,9,15,13
Thalente Wandile MBATHA,South Africa,179,10,11,11,12,9,13,10,13,13,13,12,8,9,8,8,12
Aubrey Maphosa MODIBA,South Africa,171,11,7,13,7,12,11,5,6,15,14,4,11,11,11,10,10
Oswin Reagan APPOLLIS,South Africa,171,12,11,16,11,11,13,6,3,16,13,5,14,7,7,12,11
Tshepang MOREMI,South Africa,169,13,13,13,9,11,13,9,7,16,14,11,8,7,8,6,11
Lyle Brent FOSTER,South Africa,185,13,12,13,11,7,11,12,15,14,13,14,13,6,6,6,13
Relebohile MOFOKENG,South Africa,166,13,9,14,9,12,9,5,5,16,14,3,12,7,4,6,7
Themba ZWANE,South Africa,179,13,11,17,14,13,15,7,10,15,14,5,12,9,10,8,11
Thapelo MASEKO,South Africa,178,12,8,14,10,8,10,7,6,18,16,5,10,7,10,8,11
Sphephelo S'miso SITHOLE,South Africa,186,10,8,11,9,8,12,8,12,11,12,15,12,11,14,13,14
Mbekezeli Mfanukile MBOKAZI,South Africa,177,10,9,13,13,6,16,14,15,11,11,12,8,12,13,14,12
Iqraam RAYNERS,South Africa,176,12,15,13,13,13,13,7,8,18,16,5,14,5,6,8,6
Sipho Justin CHAINE,South Africa,186,2,3,2,2,1,14,1,8,12,13,10,10,2,1,12,12
Sekotori Evidence MAKGOPA,South Africa,188,13,14,11,10,10,10,14,13,14,14,14,10,7,7,7,9
Samukele Alucious KABINI,South Africa,181,11,8,9,9,12,12,10,11,12,12,12,12,12,12,12,13
Nkosinathi Emmanuel SIBISI,South Africa,177,10,8,7,6,12,10,8,9,12,11,6,12,12,13,16,11
Khuliso Johnson MUDAU,South Africa,181,12,6,13,9,11,12,10,11,16,14,9,11,9,13,9,13
Ime Daniel OKON,South Africa,187,11,6,10,7,8,11,13,14,14,16,14,14,12,12,12,10
Stuart Ricardo GOSS,South Africa,181,6,1,1,3,1,13,1,8,10,12,11,10,1,3,13,10
Jayden Oswin ADAMS,South Africa,175,12,7,11,11,9,13,9,12,15,14,9,11,10,10,8,10
Olwethu Mpilwenhle MAKHANYA,South Africa,185,9,8,10,9,8,11,13,14,10,11,13,13,11,12,13,11
Kamogelo Michael SEBELEBELE,South Africa,166,10,9,11,13,9,13,6,6,16,14,3,11,7,7,7,7
Bradley Paul CROSS,South Africa,175,9,6,8,8,11,10,14,8,14,14,9,9,10,14,14,10
David RAYA MARTÍN,Spain,183,12,3,1,2,2,12,8,11,12,10,12,10,1,2,13,14
Marc PUBILL PAGES,Spain,190,12,8,11,10,12,12,11,15,14,16,15,12,12,13,12,13
Alejandro GRIMALDO GARCÍA,Spain,171,17,12,15,16,17,16,8,10,14,13,7,12,10,11,11,16
Eric GARCÍA MARTRET,Spain,180,14,8,12,8,10,15,13,14,13,14,13,12,14,14,15,14
Marcos LLORENTE MORENO,Spain,184,13,12,12,11,11,13,11,14,14,15,11,11,11,14,12,15
Mikel MERINO ZAZÓN,Spain,189,15,13,14,12,11,15,14,16,12,13,14,13,14,13,14,15
Ferran TORRES GARCÍA,Spain,182,15,14,14,13,13,13,14,12,15,16,12,14,6,8,7,14
Fabian RUIZ PEÑA,Spain,189,16,14,15,16,14,16,13,13,12,12,14,16,13,14,14,15
Pablo PAEZ GAVIRA,Spain,174,15,11,14,11,13,15,6,14,13,12,7,15,12,14,12,15
Daniel OLMO CARVAJAL,Spain,182,18,13,17,13,13,17,9,10,13,12,10,15,9,10,10,16
Yeremy Jesús PINO SANTOS,Spain,172,16,12,17,11,13,15,9,9,14,14,7,14,8,9,8,13
Pedro Antonio PORRO SAUCEDA,Spain,173,15,11,15,14,15,16,8,12,16,15,8,13,12,13,11,11
Joan GARCIA PONS,Spain,193,12,2,2,1,2,12,9,13,13,12,14,12,1,2,15,14
Aymeric LAPORTE FEVRE,Spain,191,15,8,11,9,9,15,17,16,10,13,15,10,14,14,16,14
Alejandro BAENA RODRÍGUEZ,Spain,174,16,14,14,13,14,17,10,11,13,13,7,13,8,9,10,12
Rodrigo HERNÁNDEZ CASCANTE,Spain,190,14,13,13,15,8,16,13,16,14,13,17,12,13,17,17,17
Nicholas WILLIAMS ARTHUER,Spain,181,17,13,15,11,14,15,12,14,15,15,10,11,9,8,14,14
Martin ZUBIMENDI IBAÑEZ,Spain,181,15,11,13,13,10,16,14,14,12,11,11,12,15,15,15,17
Lamine Yamal NASRAOUI EBANA,Spain,178,18,14,18,15,17,17,7,10,16,15,9,14,5,6,7,13
Pedro GONZÁLEZ LÓPEZ,Spain,174,18,12,17,12,15,18,6,10,14,13,8,13,9,11,12,16
Mikel OYARZABAL UGARTE,Spain,181,16,15,15,12,12,15,12,13,12,12,13,14,11,11,13,14
Pau CUBARSI I PAREDES,Spain,183,15,8,11,9,9,16,13,14,13,14,13,14,14,14,15,16
Unai SIMÓN MENDIBIL,Spain,190,14,3,1,3,2,12,13,13,14,14,15,7,2,1,15,13
Marc CUCURELLA SASETA,Spain,174,14,10,11,8,13,12,6,12,16,13,8,14,12,13,8,16
Victor MUÑOZ VILLANUEVA,Spain,173,12,13,14,6,13,11,7,9,16,15,7,12,4,6,6,11
Borja IGLESIAS QUINTÁS,Spain,187,13,14,13,10,9,13,14,16,12,13,14,13,8,9,8,15
Jacob Mikael WIDELL ZETTERSTRÖM,Sweden,197,7,2,4,1,4,8,6,15,10,12,18,8,3,3,11,12
Gustaf Johan LAGERBIELKE,Sweden,193,12,8,9,8,9,12,14,14,10,12,17,11,15,14,13,10
Victor Jörgen NILSSON LINDELÖF,Sweden,187,14,7,12,4,10,13,13,12,13,13,14,13,15,14,15,14
Isak Malcolm Kwaku HIEN,Sweden,191,10,7,10,7,8,11,15,17,14,15,17,14,17,16,13,14
Gabriel Johan GUDMUNDSSON,Sweden,181,13,10,15,12,13,13,9,9,16,15,10,11,8,10,10,11
Herman Nils JOHANSSON,Sweden,190,11,9,11,8,13,12,12,13,12,13,15,14,13,12,13,12
Lucas Erik Holger BERGVALL,Sweden,187,17,8,14,9,8,18,10,15,16,13,11,7,10,7,7,11
Daniel Jonathan SVENSSON,Sweden,183,13,8,12,10,13,13,11,12,13,13,11,12,12,12,12,12
Alexander ISAK,Sweden,190,17,18,18,10,9,13,12,12,17,16,14,15,5,6,6,15
Erik Benjamin NYGREN,Sweden,187,14,13,14,12,13,13,10,9,13,12,11,14,6,6,10,14
Anthony David Junior ELANGA,Sweden,178,14,13,14,11,10,11,7,13,18,18,10,11,1,6,10,11
Tobias Viktor JOHANSSON,Sweden,187,9,1,3,1,3,11,8,12,11,11,13,12,1,1,12,12
Ken SEMA,Sweden,180,11,9,12,11,13,10,9,14,13,12,8,13,10,11,11,12
Hjalmar EKDAL,Sweden,187,13,6,11,7,11,13,13,13,12,13,14,12,12,14,13,14
Carl Anders Theodor STARFELT,Sweden,185,13,5,12,6,10,14,15,13,12,13,13,12,15,13,16,16
Jesper Kewe KARLSTRÖM,Sweden,182,13,8,10,10,10,14,10,15,12,12,11,13,11,15,13,13
Viktor Einar GYÖKERES,Sweden,189,13,17,14,12,10,13,13,18,15,16,14,17,6,8,9,14
Yasin AYARI,Sweden,172,14,12,13,13,12,14,8,11,15,13,8,12,9,14,12,13
Mattias Olof SVANBERG,Sweden,186,14,11,12,14,12,13,11,12,13,15,11,14,11,12,12,12
Eric Anders SMITH,Sweden,192,13,6,11,13,11,16,12,14,12,14,14,15,12,12,13,16
Alexander Olof BERNHARDSSON,Sweden,184,13,12,13,12,11,12,11,11,13,15,11,12,9,11,9,13
Besfort ZENELI,Sweden,187,13,10,13,12,13,13,8,9,13,13,14,11,9,9,11,13
Bo Kristoffer NORDFELDT,Sweden,190,8,2,3,3,9,9,6,13,7,8,13,13,1,3,14,14
Elliot Karl STROUD,Sweden,185,12,12,12,13,12,12,9,11,13,15,10,12,9,11,10,12
Håkan Gustaf NILSSON,Sweden,197,10,14,12,12,9,9,15,13,10,10,17,14,10,7,10,13
Taha Abdi ALI,Sweden,174,15,8,16,8,10,11,5,5,16,14,7,9,7,9,8,10
Gregor KOBEL,Switzerland,195,9,5,7,6,2,10,7,16,9,11,17,12,3,6,16,14
Miro Max Maria MUHEIM,Switzerland,182,13,8,12,16,15,13,12,12,13,13,12,12,12,13,12,12
Silvan Dominic WIDMER,Switzerland,183,12,8,11,9,12,11,13,12,13,15,12,13,12,13,12,13
Nico ELVEDI,Switzerland,187,12,6,8,6,8,14,14,13,13,14,15,15,14,13,14,13
Manuel Obafemi AKANJI,Switzerland,188,12,7,11,11,8,14,14,17,14,15,15,13,14,15,14,14
Denis Lemi ZAKARIA LAKO LADO,Switzerland,191,14,10,14,11,8,14,12,16,15,13,15,16,13,16,14,15
Breel Donald EMBOLO,Switzerland,187,14,12,13,11,8,14,14,17,14,14,15,16,7,8,7,13
Remo Marco FREULER,Switzerland,181,13,10,13,10,13,15,8,12,12,12,9,14,11,14,15,16
Johan Kula MANZAMBI,Switzerland,182,15,10,15,12,10,13,13,13,13,13,13,13,9,12,10,12
Granit XHAKA,Switzerland,186,17,11,12,17,12,18,12,14,10,12,12,16,12,13,14,16
Dan NDOYE,Switzerland,183,14,11,15,10,11,13,6,11,17,17,11,13,3,10,10,14
Yvon Landry MVOGO NGANOMA,Switzerland,187,10,3,3,3,1,8,7,15,14,13,15,13,1,1,8,15
Ricardo Ivan RODRIGUEZ ARAYA,Switzerland,182,13,8,10,12,14,13,14,12,12,11,12,14,13,14,14,15
Ardon JASHARI,Switzerland,181,13,12,14,12,14,14,5,16,13,13,10,16,9,10,12,13
Mohameth Djibril Ibrahima SOW,Switzerland,184,14,8,12,12,9,14,9,12,13,15,11,15,12,12,12,13
Christian Andreas FASSNACHT,Switzerland,185,14,12,13,10,11,13,13,10,13,13,13,12,7,10,6,15
Ruben Estephan VARGAS MARTINEZ,Switzerland,177,14,11,14,11,13,13,8,9,15,16,8,12,8,9,8,12
Eray Ervin CÖMERT,Switzerland,183,13,6,11,13,7,13,13,13,11,12,12,13,14,14,12,14
Noah Arinzechukwu OKAFOR,Switzerland,185,14,14,14,12,11,12,9,13,15,15,12,13,5,7,6,14
Michel AEBISCHER,Switzerland,183,14,10,12,11,11,15,8,12,12,13,9,13,8,11,12,16
Marvin KELLER,Switzerland,190,8,1,1,2,2,12,8,12,8,8,15,13,2,1,13,14
Fabian RIEDER,Switzerland,181,13,10,13,14,13,13,7,10,14,14,8,12,9,11,9,12
Mohamed Zeki AMDOUNI,Switzerland,185,15,12,14,12,8,12,12,12,12,13,14,14,5,6,6,13
Aurèle Florian AMENDA,Switzerland,197,11,6,8,6,6,12,14,16,12,14,17,16,13,14,13,12
Luca Antony JAQUEZ,Switzerland,187,12,6,11,6,7,12,14,14,14,16,15,13,14,13,12,13
Cedric Jan ITTEN,Switzerland,189,12,13,11,12,8,11,15,16,11,12,16,16,7,8,8,13
Abdelmouhib CHAMAKH,Tunisia,192,7,3,1,3,2,8,5,12,10,9,14,10,1,2,13,13
Ali ELABDI,Tunisia,177,12,14,11,12,14,13,10,13,13,13,13,12,12,14,13,13
Montassar Omar TALBI,Tunisia,190,12,8,11,8,8,13,14,13,12,13,15,15,13,14,15,14
Omar REKIK,Tunisia,188,12,7,10,10,9,12,12,12,10,12,13,12,11,12,11,12
Adam AROUS,Tunisia,188,11,6,9,5,7,12,12,13,11,12,14,12,11,12,11,13
Dylan Daniel Mahmoud BRONN,Tunisia,186,11,8,10,6,8,13,14,14,12,12,13,13,13,14,13,12
Mohamed Elyes ACHOURI,Tunisia,177,15,9,15,7,13,13,5,7,15,16,9,14,5,5,6,13
Elias SAAD,Tunisia,185,16,11,16,10,9,12,6,7,15,13,9,12,7,10,8,12
Hazem MASTOURI,Tunisia,191,11,12,9,12,7,8,14,13,11,13,14,13,6,8,7,14
Hannibal MEJBRI,Tunisia,184,15,10,14,10,11,13,6,11,13,14,11,13,5,9,7,13
Ismael Seifallah GHARBI,Tunisia,173,16,10,15,13,11,14,7,8,13,12,7,12,7,9,8,11
Ahmed Mortadha BEN OUANES,Tunisia,182,12,11,12,12,12,12,10,12,11,11,12,12,9,10,12,13
Rani KHEDIRA,Tunisia,189,11,6,8,8,8,12,12,15,10,12,14,16,14,16,16,16
Khalil AYARI,Tunisia,178,14,7,13,12,11,10,5,7,14,14,6,10,3,4,4,11
Mohamed BELHADJ MAHMOUD,Tunisia,179,12,9,11,10,8,12,10,12,12,13,12,12,12,14,12,14
Aymen DAHMEN,Tunisia,188,7,2,2,2,3,7,1,11,11,11,14,8,3,1,14,14
Ellyes Joris SKHIRI,Tunisia,185,12,11,11,12,8,13,13,12,12,12,13,16,13,16,13,16
Rayan ELLOUMI,Tunisia,183,12,12,10,5,6,10,14,11,13,12,10,14,6,6,4,12
Firas CHAOUAT,Tunisia,185,12,13,11,10,9,11,12,15,13,13,13,13,5,7,6,12
Yan VALERY,Tunisia,185,12,7,11,7,11,12,12,12,14,14,13,12,12,11,12,13
Mohamed Amine BEN HMIDA,Tunisia,181,9,7,10,5,9,10,10,13,14,14,12,12,10,13,11,11
Sabri BEN HSAN,Tunisia,189,7,3,2,2,3,7,6,11,11,10,12,10,2,1,12,11
Moutaz NEFFATI,Tunisia,182,12,7,12,8,13,11,9,13,12,12,11,13,10,11,10,11
Raed CHIKHAOUI,Tunisia,191,12,10,8,10,9,11,10,11,12,14,12,12,9,12,11,12
Anis BEN SLIMANE,Tunisia,188,13,9,13,11,9,14,11,13,11,10,14,13,11,12,12,12
Sebastian TOUNEKTI,Tunisia,183,15,11,17,10,12,12,9,8,14,12,11,13,3,5,10,11
Fehmi Mert GÜNOK,Türkiye,196,12,2,1,2,1,13,3,15,5,9,16,9,1,3,16,16
Mehmet Zeki ÇELIK,Türkiye,180,12,7,11,9,12,12,12,13,14,14,12,12,13,14,14,14
Merih DEMİRAL,Türkiye,190,9,7,7,6,6,11,17,16,10,14,16,9,16,17,14,15
Çağlar SÖYÜNCÜ,Türkiye,185,11,8,11,7,7,11,15,15,9,10,15,10,15,14,14,15
Salih ÖZCAN,Türkiye,182,13,8,12,9,11,13,13,13,12,13,12,14,13,14,13,15
Orkun KÖKÇÜ,Türkiye,175,16,14,13,16,14,17,7,12,12,13,9,16,6,8,11,9
Muhammed Kerem AKTÜRKOĞLU,Türkiye,173,14,14,13,12,13,10,6,8,16,12,7,14,3,3,7,15
Arda GÜLER,Türkiye,175,18,14,14,16,15,16,11,11,14,12,6,13,7,7,7,14
Deniz Daniel GÜL,Türkiye,192,13,12,13,12,6,12,11,13,14,13,16,14,4,6,7,11
Hakan ÇALHANOĞLU,Türkiye,178,16,13,11,17,17,19,6,9,12,12,7,12,10,13,12,16
Kenan YILDIZ,Türkiye,187,17,14,17,15,12,15,7,12,15,14,11,13,5,7,9,12
Altay BAYINDIR,Türkiye,198,10,2,1,3,2,12,8,16,13,12,17,14,2,1,14,15
Evren Eren ELMALI,Türkiye,180,12,7,11,8,13,11,10,13,14,16,12,13,13,13,12,12
Abdülkerİm BARDAKCI,Türkiye,185,13,8,12,10,14,14,15,17,8,12,13,12,14,14,15,13
Ozan Muhammed KABAK,Türkiye,187,12,7,12,7,6,12,16,15,11,13,16,13,14,15,14,13
İsmaİl YÜKSEK,Türkiye,183,12,9,12,11,9,12,10,11,13,9,12,12,13,15,12,15
İrfan KAHVECİ,Türkiye,176,17,12,13,15,14,15,11,12,12,9,10,14,8,7,7,14
Mert MÜLDÜR,Türkiye,188,12,8,11,10,11,12,12,12,12,14,12,10,13,13,12,12
Yunus AKGÜN,Türkiye,173,16,13,16,13,11,13,8,7,16,14,6,15,4,4,6,10
Ferdi Erenay KADIOĞLU,Türkiye,178,14,8,14,11,13,13,5,10,15,14,7,11,9,12,9,12
Barış Alper YILMAZ,Türkiye,186,13,12,14,12,8,9,12,15,14,16,13,14,8,7,7,11
Kaan AYHAN,Türkiye,185,14,7,8,10,10,14,15,15,8,9,12,12,14,13,15,14
Uğurcan ÇAKIR,Türkiye,191,10,2,3,1,2,12,8,13,8,6,14,13,3,2,14,15
Oğuz AYDIN,Türkiye,178,13,13,14,12,14,12,6,12,16,14,11,13,7,6,7,11
Samet AKAYDIN,Türkiye,190,5,5,8,4,5,12,14,16,10,11,16,10,16,14,13,12
Can Yılmaz UZUN,Türkiye,186,17,15,16,16,12,14,10,8,12,10,10,12,7,8,7,13
Sergio Ramón ROCHET ALVAREZ,Uruguay,189,10,2,1,1,3,12,2,13,12,13,15,13,2,1,13,12
José María GIMÉNEZ DE VARGAS,Uruguay,185,12,7,11,8,10,11,16,15,12,12,13,13,16,16,15,15
Sebastián Enzo CÁCERES RAMOS,Uruguay,180,10,8,10,6,6,11,15,14,14,14,14,14,15,15,15,13
Ronald Federico ARAÚJO DA SILVA,Uruguay,191,12,11,10,10,7,11,16,18,14,16,16,12,16,17,13,13
Manuel UGARTE RIBEIRO,Uruguay,182,12,8,11,10,8,13,10,14,13,13,11,16,14,18,15,16
Rodrigo BENTANCUR COLMÁN,Uruguay,187,14,10,14,11,10,15,12,14,12,13,13,15,14,15,15,14
Diego Nicolás DE LA CRUZ ARCOSA,Uruguay,167,15,12,15,15,12,15,5,5,14,13,7,11,5,9,10,13
Federico Santiago VALVERDE DIPETTA,Uruguay,182,14,13,12,17,12,15,12,14,17,17,12,15,13,15,13,15
Darwin Gabriel NUÑEZ RIBEIRO,Uruguay,185,15,14,13,13,13,11,12,14,17,17,14,13,6,9,7,13
Giorgian Daniel DE ARRASCAETA BENEDETTI,Uruguay,174,17,13,16,12,13,17,12,10,15,13,12,12,4,7,6,16
Facundo PELLISTRI REBOLLO,Uruguay,175,13,9,13,7,11,12,4,7,17,14,7,13,6,7,8,11
Santiago Andres MELE CASTAÑERO,Uruguay,185,11,2,3,2,2,11,9,12,11,11,13,13,1,3,14,12
Guillermo VARELA OLIVERA,Uruguay,173,13,4,12,7,10,12,8,9,13,13,8,13,12,13,15,14
Agustin CANOBBIO,Uruguay,175,13,12,13,12,12,12,9,8,14,13,8,13,11,9,12,12
Emiliano MARTÍNEZ TORANZA,Uruguay,184,14,8,12,8,7,12,11,13,12,13,12,14,14,14,14,13
Mathías OLIVERA MIRAMONTES,Uruguay,184,12,9,12,10,13,13,15,15,14,14,13,14,13,16,14,15
Matías Nicolas VIÑA SUSPERREGUY,Uruguay,175,13,9,13,11,12,13,11,12,15,15,11,12,8,14,11,11
Paul Brian RODRÍGUEZ BRAVO,Uruguay,174,14,10,15,11,13,13,7,7,16,13,8,11,5,5,7,13
Rodrigo Sebastian AGUIRRE SOTO,Uruguay,186,13,13,13,12,11,12,15,13,13,13,14,14,10,6,9,12
Maximiliano Javier ARAÚJO VILCHES,Uruguay,176,13,12,15,14,14,14,5,12,15,14,8,13,12,14,11,12
Federico Sebastian VIÑAS BARBOZA,Uruguay,181,13,14,11,13,10,14,15,11,13,12,13,15,6,7,9,14
Joaquin PIQUEREZ MOREIRA,Uruguay,185,13,10,12,13,14,12,12,14,12,13,12,14,14,13,14,13
Nestor Fernando MUSLERA MICOL,Uruguay,190,8,3,9,1,1,12,8,12,7,4,15,8,2,3,18,17
Santiago Ignacio BUENO SCIUTTO,Uruguay,190,10,7,8,9,9,12,14,13,12,13,14,12,14,14,14,14
Juan Manuel SANABRIA MAGOLÉ,Uruguay,172,14,9,11,12,13,13,9,12,13,11,8,10,12,11,12,12
Radrigo ZALAZAR MARTINEZ,Uruguay,178,15,13,16,14,14,14,11,12,13,14,9,16,9,15,11,12
Matthew Charles TURNER,USA,191,7,1,7,2,2,8,2,14,11,10,15,6,1,1,14,11
Sergiño Gianni DEST,USA,171,14,7,14,9,13,13,7,7,17,14,7,12,12,11,11,12
Christopher Jeffrey RICHARDS,USA,188,12,6,10,6,9,11,15,15,14,15,15,13,13,14,14,13
Tyler Shaan ADAMS,USA,175,12,6,11,8,10,14,8,14,14,13,10,14,14,16,16,15
Antonee ROBINSON,USA,183,13,7,14,7,14,13,11,14,17,17,13,13,12,15,14,15
Auston Levi-Jesaiah TRUSTY,USA,190,11,5,9,6,7,11,13,14,13,14,15,11,14,14,13,13
Giovanni Alejandro REYNA,USA,185,16,12,15,13,11,13,7,10,14,13,11,12,7,8,7,13
Weston James Earl MC KENNIE,USA,180,12,12,12,10,12,14,16,15,13,12,14,16,13,14,14,14
Ricardo Daniel PEPI,USA,185,14,15,12,11,9,10,15,11,13,14,14,15,5,5,6,14
Christian Mate PULISIC,USA,178,15,15,16,15,14,15,5,11,15,14,8,14,4,7,7,15
Brenden Russell AARONSON,USA,177,14,11,13,9,10,12,8,5,15,14,8,10,9,13,9,12
Miles Gordon ROBINSON,USA,187,11,6,11,8,4,13,13,14,15,17,14,15,15,15,13,13
Timothy Michael REAM,USA,183,13,6,11,7,9,13,14,13,9,10,13,14,13,15,15,14
Sebastian Matthew BERHALTER,USA,175,12,10,11,12,13,14,8,10,12,12,8,13,8,12,11,13
Cristian ROLDAN,USA,172,14,12,14,10,13,14,8,10,12,12,8,14,11,11,12,10
Alexander Michael FREEMAN,USA,188,10,10,13,9,12,11,12,13,14,15,13,11,10,12,10,12
Malik Leon TILLMAN,USA,187,15,12,15,15,11,14,13,12,13,15,13,13,8,9,7,14
Maximilian Michael ARFSTEN,USA,185,11,11,13,9,13,11,9,11,12,13,11,12,10,11,12,12
Haji Amir WRIGHT,USA,193,12,15,13,10,10,10,13,13,14,15,15,13,4,5,6,13
Folarin Jolaoluwa BALOGUN,USA,178,13,15,13,10,9,11,12,12,16,15,12,13,6,5,8,12
Timothy Tarpeh WEAH,USA,182,12,13,13,13,11,12,12,11,16,15,12,13,9,10,10,11
Mark Alexander MCKENZIE,USA,184,10,6,8,6,8,10,14,14,14,14,14,13,14,13,13,13
Joseph Michael SCALLY,USA,184,12,6,12,7,12,12,11,11,14,15,11,12,12,12,12,11
Matthew Andrew Geary FREESE,USA,191,8,2,3,3,1,10,1,13,14,16,16,12,2,5,12,14
Christopher Keith BRADY,USA,191,10,3,2,1,2,8,1,9,14,14,14,5,2,3,15,9
Alejandro ZENDEJAS SAAVEDRA,USA,167,14,13,15,12,14,15,7,7,14,13,6,11,9,8,11,12
Utkir YUSUPOV,Uzbekistan,185,8,1,3,2,3,8,7,11,9,8,13,11,3,2,12,15
Abdukodir KHUSANOV,Uzbekistan,186,12,7,8,8,7,13,12,15,17,16,14,14,13,15,14,13
Khojiakbar ALIJONOV,Uzbekistan,180,9,6,13,11,12,12,11,10,13,13,10,11,12,14,11,12
Farrukh SAYFIEV,Uzbekistan,180,10,7,8,8,12,11,13,9,13,12,13,10,11,11,12,12
Rustamjon ASHURMATOV,Uzbekistan,186,9,8,8,10,7,12,13,13,9,11,13,13,14,13,13,12
Akmal MOZGOVOY,Uzbekistan,180,14,10,14,10,10,13,12,10,12,10,13,13,8,10,10,13
Otabek SHUKUROV,Uzbekistan,182,14,10,11,13,9,13,7,13,11,10,10,12,9,10,10,11
Jamshid ISKANDEROV,Uzbekistan,168,13,11,12,12,12,14,10,10,11,12,11,12,8,8,10,13
Odiljon XAMROBEKOV,Uzbekistan,178,12,8,9,12,9,12,11,13,11,12,11,10,14,15,14,11
Ruslanbek JIYANOV,Uzbekistan,170,13,13,14,12,10,12,10,8,14,13,12,12,6,6,6,11
Oston URUNOV,Uzbekistan,181,15,12,14,11,11,12,11,13,15,14,10,14,9,9,9,12
Abduvakhid NEMATOV,Uzbekistan,183,11,9,2,1,1,7,6,10,10,10,14,13,3,3,12,16
Sherzod NASRULLAEV,Uzbekistan,180,12,7,12,9,13,10,13,12,13,12,14,10,12,13,11,13
Eldor SHOMURODOV,Uzbekistan,190,14,13,14,9,9,14,13,13,13,13,12,14,5,8,8,12
Umarbek ESHMURODOV,Uzbekistan,185,9,5,6,7,6,9,14,13,10,11,14,10,14,15,14,12
Botirali ERGASHEV,Uzbekistan,187,8,2,3,2,1,6,1,7,11,11,15,9,2,1,13,11
Dostonbek KHAMDAMOV,Uzbekistan,178,15,11,12,9,12,12,11,8,12,13,12,11,8,9,8,10
Abdulla ABDULLAEV,Uzbekistan,183,11,6,11,7,5,11,11,13,11,10,11,13,13,14,13,12
Azizjon GANIEV,Uzbekistan,178,14,9,11,10,12,13,10,7,13,8,6,15,8,9,10,12
Azizbek AMONOV,Uzbekistan,174,13,14,11,11,7,11,12,13,10,11,11,12,7,11,8,13
Igor SERGEEV,Uzbekistan,185,13,14,11,11,7,9,15,13,9,10,17,12,6,6,8,15
Abbosbek FAYZULLAEV,Uzbekistan,167,15,11,14,12,12,13,6,3,13,13,5,11,6,9,10,13
Sherzod ESANOV,Uzbekistan,190,12,7,12,9,13,10,13,12,13,12,14,10,12,13,11,13
Behruzjon KARIMOV,Uzbekistan,180,6,5,8,3,9,9,9,7,10,11,5,9,9,12,7,9
Avazbek ULMASALIYEV,Uzbekistan,185,11,6,8,6,5,11,11,12,11,11,13,12,13,12,12,11
Jakhongir UROZOV,Uzbekistan,190,10,6,9,7,5,12,12,14,12,12,13,11,13,12,12,11
